Corriente (A),Diámetro (mm),Resistencia Cobre (Ohm),Pérdidas Cobre (W),Resistencia Aluminio (Ohm),Pérdidas Aluminio (W),Resistencia Oro (Ohm),Pérdidas Oro (W)
200,31.81818181818182,0.021631560330635263,865.2624132254106,0.03496263820881747,1398.5055283526988,0.02892592369794251,1157.0369479177004
200,32.22222222222222,0.021092477214328522,843.6990885731409,0.03409132945106587,1363.6531780426349,0.028205056740090467,1128.2022696036188
200,32.62626262626263,0.020573297681443167,822.9319072577266,0.03325219043861164,1330.0876175444657,0.027510805039139125,1100.432201565565
200,33.03030303030303,0.020073053837661295,802.9221535064518,0.03244365678412699,1297.7462713650796,0.0268418743178029,1073.674972712116
200,33.43434343434343,0.019590835916131512,783.6334366452604,0.03166425805049163,1266.5703220196654,0.026197048027385164,1047.8819210954066
200,33.83838383838384,0.0191257881381803,765.0315255272119,0.030912611060547233,1236.5044424218893,0.02557518181268296,1023.0072725073185
200,34.24242424242424,0.018677104913873744,747.0841965549498,0.03018741375614478,1207.4965502457912,0.024975198431342802,999.007937253712
200,34.64646464646465,0.018244027350910626,729.7610940364251,0.0294874395555416,1179.497582221664,0.024396083085520028,975.8433234208011
200,35.05050505050505,0.017825840043578838,713.0336017431536,0.02881153216345882,1152.4612865383529,0.023836879128041468,953.4751651216587
200,35.45454545454545,0.01742186811638935,696.874724655574,0.02815860079276884,1126.3440317107536,0.023296684109125297,931.8673643650119
200,35.85858585858586,0.01703147449956187,681.2589799824748,0.027527615760919767,1101.1046304367906,0.022774646133135058,910.9858453254024
200,36.26262626262626,0.01665405741581214,666.1622966324857,0.02691760442788242,1076.704177115297,0.022269960497888333,890.7984199155334
200,36.666666666666664,0.016289048059917616,651.5619223967046,0.0263276474456808,1053.105897827232,0.021781866591750302,871.274663670012
200,37.07070707070707,0.015935908454345078,637.436338173803,0.02575687529248798,1030.2750116995192,0.02130964502615912,852.3858010463647
200,37.474747474747474,0.0155941294658371,623.765178633484,0.025204465066876246,1008.1786026750499,0.020852614983386822,834.1045993354729
200,37.87878787878788,0.015263228969296244,610.5291587718498,0.024669637520141608,986.7855008056644,0.020410131761268234,816.4052704507294
200,38.282828282828284,0.014942750146596611,597.7100058638645,0.024151654306708483,966.0661722683393,0.019981584498355937,799.2633799342375
200,38.686868686868685,0.014632259909108962,585.2903963643585,0.02364981543449007,945.9926173796028,0.019566394064506172,782.6557625802469
200,39.09090909090909,0.014331347433763223,573.2538973505289,0.023163456898756842,926.5382759502737,0.019164011103288033,766.5604441315213
200,39.494949494949495,0.01403962280340451,561.5849121361804,0.022691948484572406,907.6779393828963,0.01877391421385487,750.9565685541949
200,39.898989898989896,0.013756715743036595,550.2686297214638,0.022234691724210314,889.3876689684125,0.01839560826103731,735.8243304414924
200,40.303030303030305,0.01348227444430176,539.2909777720704,0.021791117997185406,871.6447198874163,0.018028622803426774,721.144912137071
200,40.707070707070706,0.013215964471225639,528.6385788490255,0.02136068676163214,854.4274704652856,0.01767251063012731,706.9004252050925
200,41.111111111111114,0.012957467740869455,518.2987096347782,0.020942883906754122,837.7153562701649,0.017326846397674272,693.0738559069708
200,41.515151515151516,0.01270648157308614,508.2592629234456,0.020537220216964813,821.4888086785925,0.016991225359359374,679.6490143743749
200,41.91919191919192,0.012462717804077716,498.5087121631086,0.02014322993914887,805.7291975659548,0.016665262179871364,666.6104871948546
200,42.323232323232325,0.012225901958904793,489.03607835619175,0.019760469445206586,790.4187778082635,0.016348589828768037,653.9435931507214
200,42.727272727272734,0.011995772478509822,479.8308991403929,0.01938851598270774,775.5406393083096,0.01604085854684453,641.6343418737812
200,43.131313131313135,0.011772079997187965,470.88319988751863,0.01902696650708288,761.0786602833151,0.015741734879960653,629.6693951984262
200,43.535353535353536,0.011554586666777656,462.18346667110626,0.01867543658932668,747.0174635730673,0.015450900775342216,618.0360310136887
200,43.93939393939394,0.011343065524150006,453.72262096600025,0.018333559393684314,733.3423757473726,0.015168052735781985,606.7221094312794
200,44.343434343434346,0.011137299898855259,445.4919959542104,0.018000984720242804,720.0393888097121,0.014892901027539011,595.7160411015604
200,44.747474747474755,0.010937082858038941,437.48331432155766,0.017677378107760617,707.0951243104247,0.014625168938075328,585.0067575230131
200,45.15151515151515,0.010742216685971527,429.68866743886105,0.017362419992442354,694.4967996976942,0.014364592080078205,574.5836832031282
200,45.55555555555556,0.010552512395746748,422.10049582986994,0.017055804918706955,682.2321967482782,0.01411091773849856,564.4367095399424
200,45.959595959595966,0.010367789270896191,414.7115708358477,0.016757240798308964,670.2896319323586,0.013863904257593746,554.5561703037498
200,46.36363636363637,0.010187874434843602,407.51497739374406,0.01646644821445652,658.6579285782608,0.01362332046519784,544.9328186079136
200,46.76767676767677,0.010012602446283204,400.50409785132814,0.016183159767829833,647.3263907131933,0.013388945131657774,535.557805266311
200,47.17171717171718,0.00984181491871339,393.67259674853557,0.01590711946164141,636.2847784656564,0.013160566461070231,526.4226584428093
200,47.57575757575758,0.009675360162491535,387.0144064996614,0.015638082123096784,625.5232849238713,0.01293798161263403,517.5192645053612
200,47.979797979797986,0.00951309284789932,380.5237139159728,0.015375812858814019,615.0325143525607,0.012720996250097929,508.83985000391715
200,48.38383838383838,0.009354873687820767,374.1949475128307,0.015120086541942869,604.8034616777147,0.012509424117434748,500.3769646973899
200,48.78787878787879,0.009200569138739009,368.02276554956035,0.01487068732889212,594.8274931556848,0.012303086639011465,492.1234655604586
200,49.1919191919192,0.009050051118853155,362.0020447541262,0.014627408203727777,585.0963281491111,0.012101812542652477,484.07250170609905
200,49.5959595959596,0.008903196742204009,356.12786968816033,0.014390050548446016,575.6020219378406,0.011905437504110012,476.21750016440046
200,50.0,0.008759888067777917,350.3955227111167,0.014158423737455008,566.3369494982003,0.011713803811563495,468.5521524625398
